product,price,kilometraje
renault logan 1.6 expression,31900000,113831
mazda cx-5 2.0 touring,127500000,15500
chevrolet vitara standar 16v,49400000,121600
brilliance v5 1.5 sport,36500000,78000
toyota corolla cross 1.8 hev seg,154900000,3000
honda cr-v 2.4 lx 4x4,39900000,147100
nissan x-trail 2.5 advance,97000000,27000
nissan sentra 1.8 sense,70000000,15800
chevrolet onix 1.0 lt (turbo),57600000,5760
mazda cx-5 2.5 touring,106000000,33000
renault clio 1.4 authentique,19500000,175000
ford fiesta 1.6 sportback titanium,42000000,425000
chevrolet equinox 1.5 premier,79500000,78000
renault duster 1.6 expression/ zen mecanica 4x2,53900000,115000
kia picanto 1.3 emotion hb mecanico,45200000,52477
chevrolet equinox 1.5 lt,84000000,32500
mazda cx-50 2.5 grand touring 4x2,171000000,3700
kia picanto 1.25 vibrant at,47500000,10300
kia picanto 1.2 vibrant,40000000,73000
mazda cx-30 2.0 touring,92900000,52600
toyota prado 3.0 gx diesel,81250000,160200
toyota prado 2.8 tx-l at6,360000000,7300
kia sportage gt 2.0l gt line 4x4 at,125000000,46500
volkswagen jetta 2.0 trendline,29500000,103500
chevrolet tracker 1.8 ls mt,36000000,103002
volkswagen virtus 1.6 comfortline,56800000,81000
kia rio 1.4 vibrant mt,59000000,57380
suzuki grand vitara 1.6 sz glx sport 4x4,52000000,122000
volkswagen virtus 1.6 comfortline,60000000,39503
ford explorer 3.5 limited,90000000,54585
citroën xsara picasso 2.0 exclussive,25000000,140400
audi q5 2.0 tfsi s-tronic luxury,66900000,89500
mercedes-benz clase gle 450 3.0 4matic hibrida,300000000,48000
bmw serie 3 318 i 1.8,29500000,220000
volkswagen golf 1.4 tsi comfortline,62000000,28987
bmw x1 2.0 f48 sdrive 20i,104000000,36000
kia picanto 1.2 gt-line at,52000000,64200
kia picanto 1.0 emotion mt,40000000,27600
ford fiesta 1.6 sportback se mecanica,42000000,68000
volkswagen crossfox 1.6l,53500000,29000
chevrolet onix 1.0 turbo lt,53000000,54000
mazda cx-5 2.5 grand touring lx,103900000,94215
audi s3 2.0 quattro sport,115000000,27000
volvo xc40 p8 version top electrica,219900000,25000
volvo xc60 2.0 t5 awd summum,97000000,56000
mazda 3 2.0 touring,65000000,71000
ford f-150 3.5 svt raptor supercrew,259500000,65000
toyota 4runner 4.0 sr5 fl,199000000,18982
toyota rav4 2.5 limited hybrid,213000000,44295
